Site_Operator,Site_Address,Latitude,Longitude,Main_Contaminant _Category,Description_of_Operations,Property at Issue Shorthand,River Mile (RM),Beginning Year of Operations,End Year of Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Party Associated with Site
Chemtrade Chemicals Corporation,"332-352 Doremus Ave., Newark NJ",40.7211672,-74.1239718,mercury,"Chemtrade as successor to Essex Industrial Chemicals, manufactured and processed chemicals using magnesium oxide recovery, sulfuric acid productio, oleum and chromium sulfate production, and aluminum sulfate production processes.",,,1989,,"PAHs
PCBs
dioxin-associated compounds
dioxins
lead
mercury",,"caustic soda
sulfuric acid",aluminum sulfate,"1,1,1-trichloroethane
PAHs
PCBs
arsenic
cadmium
chromium
copper
lead
mercury
nickel
zinc",Chemtrade Chemicals Corporation,Chemtrade Chemicals Corporation
Clark Thread Co.,"260 Ogden Street, Newark NJ",40.7604194,-74.1653738,lead,"bleached, dyed, milled, and finished thread",Newark Property,,before 1872,1947,"copper
dioxin-associated compounds
dioxins
lead
mercury",,,,,Coats & Clark Inc.,"Coats & Clark, Inc."
Clark Thread Co.,"735 Broad Street, Bloomfield NJ",40.8177975,-74.1930146,lead,produced cotton thread,Bloomfield Property,,1922,1949,"copper
dioxin-associated compounds
dioxins
lead
mercury",,"sodium hypochlorite
sulfuric acid",,"PCE
chlordane
chloroform
copper
lead",Coats & Clark Inc.,Coats & Clark Inc.
Clark Thread Co.,"900 Passaic Ave., East Newark, NJ",40.7520062,-74.1629891,lead,"bleached, dyed milled, mercerized/finishedthread",East Newark Property,,1875,1931,"copper
dioxin-associated compounds
dioxins
lead
mercury",,,,,Coats & Clark Inc.,Coats & Clark Inc.
"Clean Earth of North Jersey, Inc.","101-115 Jacobus Ave., Kearny NJ",40.7387527,-74.1125029,dioxins,"stores, treats and disposes of hazardous and non hazardous waste; Clean Earth is partial owner of 101-115 and leases 109-113 Jacobus Ave from Melon Leasing Corp.",,,1984,present,"PAHs
copper
dioxins
lead
mercury",,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
dioxins
lead
mercury",,"PAHs
PCBs
arsenic
benzene
copper
dioxin-associated compounds
dioxins
lead
mercury","Clean Earth of North Jersey, Inc.
Melon Leasing Corporation, Inc.",Clean Earth
Congoleum Corp.,"195 Belgrove Drive, Kearny NJ",40.7588217,-74.1578975,lead,"BWI's predecessor (Congoleum Corp.) manufactured linoleum and/or vinyl flooring, wall coverings, and desk tops. They also manufactured tent cloth, aerial torpedo parts, grenades, synthetic leathers, flooring adhesives, and vinyl asbestos tile. They also operate a laboratory and power plant.",,,late 1880s,mid 1980s,"PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs
lead
mercury",,"DDT
PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Bath Iron Works Corporation,Bath Iron Works
"Cooper Industries, LLC","401 Worthington Ave., Harrison NJ",40.1598397,-74.0302251,mercury,manufacture and test centrifugal and reciprocating pumps,,,1904,1985,"PAHs
PCBs
copper
lead",,"Cobalt-60
iridium","iron
lead
mercury","PAHs
PCBs
copper
lead
mercury","Cooper Industries, LLC",Cooper Industries
Covanta Essex Co.,"66 Blanchard St., Newark NJ",40.7369019,-74.128505,lead,waste to energy plant for refuse collection and incineration,,,1990,present,"PAHs
copper
dioxin-associated compounds
lead",,"acetylene
caustic soda
cobalt
copper
diesel fuel
lime
nitric oxide
sulfuric acid","1,1,1-trichloroethane
benzene
benzene, lead, methylene chloride, petroleum hydrocarbons, toluene, 1,1,1-trichloroethane, zince
lead
methylene chloride
petroleum hydrocarbons
toluene
zinc","arsenic
benzene
cyanide
iron
lead",Covanta Essex Co.,Covanta Essex
Croda Inc.,"185 Foundry Street (Block 5005 -- Lot 21), Newark NJ",40.7284626,-74.1325752,lead,manufactured lanolin and lanolin derivatives,,,late 1950s,1987,"PAHs
copper
lead
mercury",,,,"2-Butanone
DDT
benzene
cadmium
copper
cyanide
lead
toluene
zinc",Croda Inc.,"Croda, Inc."
Crucible Steel,"1000 South Fourth Street, Harrison NJ",40.7519459,-74.1577955,lead,manufactured steel,,,1900,1988,"PAHs
PCBs
copper
lead
mercury",,"copper
lead
mercury
sulfuric acid",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury","EnPro Industries, Inc., formerly Crucible Steel",EnPro Industries
Curtiss-Wright Corporation,"1 Passaic Street, Wood Ridge NJ",40.863223,-74.091419,lead,"manufactured cyclone engines, gas turbine generators, and other defense related products",,,,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury","""colored wastes""
cutting fluids
oil-water mixtures
pickling liquids
process-related oils
process-related oils, oil-water mixtures, cutting fluids, pickling liquids, sewage, ""colored wastes""
sewage","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Curtiss-Wright Corporation,Curtiss-Wright Corporation
D&J Trucking,"310-336 Avenue P, Newark Nj",40.7235576,-74.1287424,lead,D&J Trucking used the site to dump hazardous substances and other compounds illegally. Benjamin Moore abd Sherwin-Williams arranged to dispose of their hazardous substances with D&J Trucking.,D&J Trucking Property,,1974,,"DDx
PAHs
PCBs
copper
lead
mercury",,,,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury","Benjamin Moore & Co.
The Sherwin-Williams Company",Benjamin Moore
Darling Ingredients Inc.,"61 Blanchard Street, Newark NJ",40.7356625,-74.129637,lead,processed fat and bones to produce tallow and meat meal,,,1926,,"PAHs
copper
lead",,"PAHs
copper
lead",,,Darling Ingredients Inc.,Darling Ingredients Inc.
Diamond Alkali Corporation,"80 Lister Ave., Newark, NJ",40.73877,-74.13669,dioxins,manufactured pesticides and Agent Orange,,,,,,,,,,,
"DII Industries, LLC","401 Worthington Ave., Harrison NJ",40.1598397,-74.0302251,mercury,manufactured and tested pumps,,,1985,1993,"PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",,,,mercury,"DII Industries, LLC","DII Industries, LLC"
Drew Chemical Corporation,"1106 Harrison Avenue, Kearny NJ",40.7483548,-74.1405013,dioxins,"Drew Chemical Corporation manufactured industrial water treatment chemicals, boiler compounds, paint defoamers, and other specialty chemicals. It also performed reactor work for esterification and saponfication and operated a warehouse facility.",Ashland - Kearny,,1970,,"PAHs
copper
dioxins
lead
mercury",,"PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury","acrylamide
chromium compounds
copper
ethylene glycol
lead
volatile organic compounds
zinc compounds","PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury
polyacrylamide polymer
semi-volatile organic compounds
volatile organic compounds",Ashland LLC,Ashland LLC
Eden Wood Corporation,"1 Ackerman Ave., Clifton NJ",40.8794641,-74.1209761,PAHs,"manufactured container board, box board, roofing felt and shingles",,,1930,1986,"PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs",,"PCBs
copper
fuel oil
lead
mercury
petroleum hydrocarbons",Eden Wood Corporation,Eden Wood Corporation
"Elan Chemical Co., Inc.","268 Doremus Ave., Newark NJ",40.7239084,-74.1235372,copper,manufactures chemicals for food flavor and fragrances,,,1977,present,"PAHs
PCBs
copper
lead
mercury",,"copper chromite
copper powder
maleic acid
maleic anhydride
phthalic anhydride
sulfuric acid",,"PAHs
PCBs
acenaphthene
chlorobenzene
chrysene
copper
lead
mercury
naphthalene
phenanthrene
pyrene","Elan Chemical Co., Inc.","Elan Chemical Co., Inc."
Essex Chemical Corporation,"330 Doremus Ave., Newark NJ",40.7213832,-74.1247415,mercury,"manufactured and processed chemicals using magnesium oxide recovery, sulfuric acid productio, oleum and chromium sulfate production, and aluminum sulfate production processes.",,,1953,1989,"PAHs
PCBs
dioxin-associated compounds
dioxins
lead
mercury",,"caustic soda
sulfuric acid",aluminum sulfate,"1,1,1-trichloroethane
PAHs
PCBs
arsenic
cadmium
chromium
copper
lead
mercury
nickel
zinc",Chemtrade Chemicals Corporation,Chemtrade Chemicals Corporation
Everett Smith Group Ltd.,"20 Bruen Street, Newark NJ",40.7320181,-74.1646969,lead,tanned and finished leather,,,1872,1939,"copper
lead",,"arsenic
chromium
lead acetate
sulfuric acid","aniline
arsenic
chromium
copper
lead
zinc",,Everett Smith Group Ltd.,"Everett Smith Group, Ltd."
Faber-Castell Corporation,"41 Dickerson Street, Newark NJ",40.7473754,-74.1846579,PAHs,"manufactured rubber, ink, and paint",,,before 1934,,"PAHs
copper",,"PAHs
PCBs
copper
lead",,PAHs,Berol Corporation,Berol Corporation
"Federal Leather Company, Inc.","681 Main Street, Belleville NJ",40.8043066,-74.141031,PAHs,"manufactured leather, artificial leather, and vinyl plastics",,,1956,1968,"PAHs
copper
mercury",,,,,"Textron, Inc.",Textron Inc.
"Franklin-Burlington Plastics, Inc.","113 Passaic Avenue, Kearny NJ",40.7569631,-74.162234,copper,manufactured plastics,,,1976,,"PCBs
copper
lead
mercury",,"PCBs
antimony
arsenic
beryllium
bromodichloromethane
cadmium
chloroform
chromium
chrysene
copper
ethylbenzene
flouranthene
lead
mercury
phthalates
pyrene
xylenes
zinc",,,"Franklin-Burlington Plastics, Inc.","Franklin-Burlington Plastics, Inc."
Garfield Manufacturing Company,"10 Midland Ave, P.O. Box 3236, Wallington NJ",40.8613622,-74.1063382,PAHs,"molding plastics, cements and other materials for use in electricity industry",,,1917,present,"PAHs
copper
mercury",,,"PAHs
acetylene
acetylene, ammonia, asbestos, formaldehyde, lead, toluene, PAHs
ammonia
asbestos
formaldehyde
lead
toluene","PCBs
acenaphthene
antimony
benzene
cadmium
copper
dibenzofuran
lead
mercury
petroleum hydrocarbons
xylene","Garfield Molding Company, Inc./Garfield Manufacturing Company",Garfield Molding
Givaudan Fragrances Corporation,"100 Delawanna Ave. and 125 Delawanna Ave., Clifton NJ",40.8291065,-74.1287542,dioxins,"manufactured fragrances, pharmaceuticals, intermediates, and pesticides",,,1947,1984,"DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury","2,4,5-TCP
hexachlorophene","dioxins
furans","2,3,7,8-TCDD","2,3,7,8-TCDD
2,4,5-TCP
DDx
PAHs
copper
dieldrin
lead
mercury",Givaudan Fragrances Corporation,Givaudan Fragrances Corporation
Goody Products Inc.,"969 Newark Turnpike, Kearny NJ",40.7447802,-74.0948863,copper,manufactured metal hair accessories (e.g. pins and barrettes),,,1969,1994,"PAHs
copper
lead
mercury",,"copper
kerosene
lead
sulfuric acid","PAHs
copper
dioxin-associated compounds
lead
mercury","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Newell Brands Inc.,Newell Brands Inc.
"Guyon General Piping, Inc.","900-1000 South Fourth Street, Harrison NJ",40.751911,-74.1575674,lead,operated a pipe fabrication facility,,,1947,,"PAHs
PCBs
copper
lead
mercury",,"copper
lead
mercury
sulfuric acid",,"PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",Teval Corporation,Teval Corp.
Hexcel Corporation,"205 Main Street, Lodi NJ",40.8807338,-74.0841797,PCBs,"manufactured fine chemicals, industrial maintenace chemicals, industrial alkaline, water-based cleaners, paint strippers, deodorant/air freshener soap, dibactol, oxalic/phosphoric acid liquid cleaners, and resins",,,1973,,"PCBs
copper
lead
mercury",,,,"PCB 1242
PCB 1248
PCB 1254
PCB 1260
PCBs
arsenic
copper
lead
mercury",Hexcel Corporation,Hexcel Corporation
"Hoffmann-La Roche, Inc.","340 Kingsland Road, Nutley, NJ",40.8335462,-74.1572095,PAHs,manufactured pharmaceutical products,Hoffman-La Roche Site,,1928,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,"acids
chloroform
hexane
kerosene
solvents
sulfuric acid
toluene","arsenic
copper
lead
mercury
nickel","acetone
acetonitrile
aluminum
arsenic
hexane
iron
lead
methylene chloride
polynuclear aromatic hydrocarbons
xylene","Hoffmann-La Roche, Inc.",Hoffmann LaRoche Inc
"Honeywell International, Inc.","65 Lodi Street, Passaic NJ",40.8583349,-74.1114247,lead,"nitrating plant, bulk acid distribution facility, plastics and pellets storage, contained an incinerator",,,1899,1987,"copper
lead
mercury",,,,"TPH
TPH, benzene, toluene, xylene, zinc, lead, cadmium, arsenic, selenium, copper, mercury, trans1,dichloroethene, trichlorethene, chromium
arsenic
benzene
cadmium
chromium
copper
lead
mercury
selenium
toluene
trans1,2dichloroethene
trichloroethene
xylene
zinc","Honeywell International, Inc.",Honeywell International Inc.
Inland Corp.,"600 Doremus Ave., Newark NJ",40.7133185,-74.1298495,PCBs,"manufactured chemicals, transitioned facility to hazardous waste treatment facility",,0-0.5,1974,1987,"PCBs
copper
lead
mercury",methylene chloride,"acetone
dimethyl aniline
dimethyl sulfoxide
hydrochloric acid
methylene chloride
mixed chlorinated hydrocarbons
toluene
xylenes",methylene chloride,"PCBs
acetone
arsenic
carbon tetrachloride
hexachlorobenzene
iron
lead
mercury
methanol
methyl aniline
methylene chloride
toluene
trichloroethane",McKesson Corporation,McKesson Corp.
Innospec Active Chemicals LLC,"418 Falmouth Ave., Elmwood Park NJ",40.9122404,-74.1112412,PAHs,manufactured and supplied chemical aid s for textile and personal care products,,,1956,2005,"PAHs
lead
mercury",,"acetylene
dichlorobenzene
maleic anhydride
methanol
sulfuric acid
trichlorobenzene
xylenes",,"1,4 dichlorobenzene
benzene
chlorobenzene
vinyl chloride",Innospec Active Chemicals LLC,Innospec Active Chemicals LLC
ISP Chemicals LLC,"11 William Street, Belleville NJ",40.7836558,-74.1500566,PCBs,"manufacured ultraviolet absorbers, emulsifiers, and emollients.",ISP - Belleville,,1943,present,"PAHs
PCBs
dioxins
mercury",,"acetone
chloroform
formaldehyde
fuel oil
methanol
propane
tetrahydrofuran",,"PCBs
PHCs
benzene
di-n-butyl phthalate
mercury
volatile organic compounds",,ISP Chemicals LLC
J. Wiss & Sons Co.,"13 Bank Street, Newark NJ",40.7375081,-74.1752817,lead,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,,,1854,,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC","Cooper Industries, LLC"
J. Wiss & Sons Co.,"26 Bank Street, Newark NJ",40.7366681,-74.1729296,lead,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,,,,1887,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC","Cooper Industries, LLC"
J. Wiss & Sons Co.,"33 Littleton Avenue, Newark NJ",40.7461457,-74.1929624,lead,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,,,1887,1985,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC","Cooper Industries, LLC"
J. Wiss & Sons Co.,"7 Bank Street, Newark NJ",40.7366669,-74.1719872,lead,Cooper acquired J. Wiss & Sons (JWS) in 1976. JWS manufactured cutlery.,,,1848,1854,"PCBs
copper
lead
mercury",,,"arsenic
cadmium
chromium
copper
lead",,"Cooper Industries, LLC","Cooper Industries, LLC"
"Kalama Specialty Chemicals, Inc.","290 River Drive, Garflied NJ",40.8683369,-74.110498,mercury,"manufactured chemicals for pharmaceuticals, cosmetics, food packaging, food preservatives, synthetic flavorings, printing inks, and dysetuffs",,,1982,1994,"PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
benzoic acid
formaldehyde
phenol
toluene",,biphenyl,"Kalama Specialty Chemicals, Inc.","Kalama Specialty Chemicals, Inc. and Goodrich Corporation"
Kearny Landfill,"1500 Harrison Ave., Kearny NJ",40.7494916,-74.1358996,dioxins,operated a landfill for municipal and industrial waste,Kearny Landfill,,late 1940s,early 1980s,"DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury",,,,,"Roselle Mausoleum Maintenance Fund, Inc.","Roselle Mausoleum Maintenance Fund, Inc."
Kearny Smelting & Refining Corp.,"936 Harrison Ave., Kearny NJ",40.7489219,-74.1423926,copper,"smelted scrap metal, and scrapped brass and bronze",,,1946,2009,"PAHs
PCBs
copper
lead
mercury",,"copper
fuel oil
lead",,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Kearny Smelting & Refining Corp.,Kearny Smelting & Refining Corp.
Keegan Landfill,"Bergan Ave., Kearny NJ",40.7575744,-74.1465172,dioxins,operated a landfill for municipal and industrial waste,Keegan Landfill,,late 1940s,early 1980s,"DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury",,,"1,4-dichlorobenzene
DDT
PAHs
chlorobenzene
copper
dioxin-associated compounds
lead
mercury","2,3,7,8-TCDD
DDT
PAHs
PCBs
copper
dieldrin
lead
mercury","Roselle Mausoleum Maintenance Fund, Inc.","Roselle Mausoleum Maintenance Fund, Inc."
L3Harris Technologies,"100 Kingsland Road, Clifton NJ",40.8272355,-74.1394584,copper,"manufactured televisions, radio tubes, telephones, washing machines, printed circuit boards, and also perform welding, soldering, painting, printing, degreasing, drilling, machining, grinding, assembling, and product testing.",,,1946,present,copper,,"111-Trichloroethane
acetone
cadmium
chromium
copper
dichlorodifluoromethane
hydrogen chloride
lead
methylene chloride
molybdenum
nickel
nitric acid
nitrogen
potassium hydroxide
silver
sulfuric acid
tin
trichloroethylene
zinc",,"1,1,1-trichloroethane
1,1-dichloroethene
1,2-dichloroethane
arsenic
benzene
chloroform
ethylbenzene
toluene
volatile organic compounds",Harris Corporation,"L3Harris Technologies, Inc."
Lehn&Fink,"192-194 Bloomfield Ave., Bloomfield NJ",40.7811332,-74.1909215,PAHs,manufactured chemicals and pharmaceuticals,,,1925,1965,PAHs,"cresols
phenols",,PAHs,,Reckitt Beckinser LLC,Reckitt Benckiser LLC
Mallinckrodt LLC,"223 West Side Ave., Jersey City NJ",40.7114732,-74.0933119,mercury,manufactured and packaged chemicals,,,1887,,"PAHs
copper
dioxin-associated compounds
lead
mercury","acetone
alcohols
benzene
ethers
ferric chloride
ferrous sulfate
inorganic chemicals
iron oxides and salts
medicinal chemicals
mercury oxides and salts
mineral acids
photographic chemicals
potassium chloride
potassium sulfate
red mercuric oxide
sodium nitrate
toluene
uranium trioxide
xylenes
zinc acetate","PAHs
copper
dioxin-associated compounds
lead
mercury",,"1,2-dichlorobenzene
HMW PAHs
LMW PAH
copper
dioxin-associated compounds
gamma-BHC
lead
mercury",Mallinckrodt LLC,Mallinckrodt LLC
Marathon Oil,"100 Central Ave., Kearny NJ",40.7313136,-74.1137761,PAHs,built and repaired merchant and war ships,,,1917,,"PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury",,"PAHs
chromium
copper
lead
mercury
trichloroethene
zinc",Marathon Oil,Marathon Oil
"MI Holdings, Inc.","223 West Side Ave., Jersey City NJ",40.7114732,-74.0933119,mercury,manufactured chemicals,,,1982,1993,"PAHs
copper
dioxin-associated compounds
lead
mercury",,"PAHs
copper
dioxin-associated compounds
lead
mercury",,"1,2 dichlorobenzene
HMW PAHs
LMW PAH
copper
dioxin-associated compounds
gamma-BHC
lead
mercury","MI Holdings, Inc.","MI Holdings, Inc."
Modern Transportation,"75 Jacobus Ave., Kearny NJ",40.7367739,-74.1136729,copper,operated a waste treatment and disposal facility for municipal and industrial waste,,,1962,,"PAHs
PCBs
copper
dioxins
lead
mercury",,"PCBs
copper
cupric sulfate
lead
mercury","copper
mercury","PAHs
copper
dioxin-associated compounds
lead
mercury
other metals","Spectraserv, Inc.","Spectraserv, Inc."
Montrose Chemical Co.,"100/120 Lister Avenue, Newark",40.7388893,-74.1337099,DDT,"manufactured many organic chemicals; herbicides; and pesticides, including up to 3-million pounds of DDT per year.",Montrose Site,,1939,1972,"DDT
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury","2,4,5-T
2,4-D
bis(2-ethylhexyl) phthalate
butyl phthalate
dimethyl phthalate
dioctyl phthalate
dioxin associated compounds","DDx
bis(2-ethylhexyl) phthalate
butyl phthalate
chlorinated benzenes
copper
dichlorobenzene
dichlorophenol
dimethyl phthalate
dioctyl phthalate
hexachlorobenzene
lead
lindane
pentachlorophenol
phthalic anhydride
propanil
tetrachlorobenzene
trichlorobenzene
trichlorophenol","copper
dioxins
furans
lead","DDx
chlorinated benzenes
dichlorophenol
dieldrin
lindane
mercury
trichlorophenol",21st Century Fox (TFCF),21st Century Fox (TFCF)
Montrose Chemical Co.,70 Lister Ave,40.7386556,-74.1365509,DDT,"manufactured many organic chemicals; herbicides; and pesticides, including up to 3-million pounds of DDT per year.",,,1935,1943,,,,,"chlorobenzene
dichlorobenzene
dioxins
furans
trichlorobenzene",,21st Century (TFCF)
National-Standard LLC,"714-716 Clifton Ave., Clifton NJ",40.8708816,-74.1565214,lead,manufactured carbon steel wire and strips,,,1907,1988,"PAHs
PCBs
lead
mercury",,"111-Trichloroethane
hydrochloric acid
lead
liquid nitrogen
sodium hydroxide
sulfuric acid",,"PCBs
acetone
arsenic
benzene
chloroform
copper
cyanide
dimethyl phthalate
lead
lead, copper, cyanide, acetone, PCBs, petroleum hydrocarbons, lead, volatile organic compounds, pesticides, dimethyl phthalate, benzene, chloroform, trichloroethene, arsenic, mercury
mercury
pesticides
petroleum hydrocarbons
trichloroethene
volatile organic compounds",National-Standard LLC,National-Standard LLC
Novelis Corporation,"1 Jacobus Ave., Kearny NJ",40.7331497,-74.1134435,PAHs,"manufactured building products, aluminum siding, roofing, and accessories",,,1953,1975,"PAHs
PCBs
copper
lead
mercury",,,,"PAHs
PCBs
benzene
benzo(a)anthracene
cadmium
chromium
chrysene
copper
lead
mercury
nickel
toluene
zinc",Novelis Corporation,Novelis Corporation
"Noveon Hilton Davis, Inc.","104-112 Lister Ave., Newark NJ",40.7390369,-74.1342955,copper,"production of phthalocyanine colors for automotive industries, transoxides for textile industries, D&C colors for the drug and cosmetic industry",,,1955,1986,"PAHs
PCBs
copper
lead
mercury",,"124-trichlorobenzene
chlorine
copper
dioxin-associated compounds
lead
mercury
phthalic anhydride",chlorinated benzenes,"PAHs
PCBs
copper
dichlorobenzene
hexachlorobenzene
lead
mercury
other hazardous substances
trichlorobenzene","Noveon Hilton Davis, Inc., a subsidiary of Dystar LP",Noveon Hilton Davis
Otis Elevator Company,"1000 First Street, Harrison NJ",40.7401367,-74.1609708,lead,manufactured metal products,,,1910,1980,"copper
lead
mercury",,"PCBs
copper
lead
mercury","copper
lead
mercury",lead,Otis Elevator Company,Otis Elevator Company
"Pabst Brewing Company, LLC","400 Grove Street, Newark NJ",40.7432329,-74.2106844,copper,brewed and packaged beer,,,1946,1985,"PAHs
copper
lead
mercury",,"PAHs
caustic soda
copper
lead
mercury","PAHs
PCBs
copper
lead
mercury","PAHs
PCBs
copper
lead
mercury","Pabst Brewing Company, LLC",Pabst Brewing Company
Palin Enterprises,"25 Belgrove Drive, Kearny NJ",40.7553144,-74.1617965,copper,"property manufactures linen thread, material, yarns, aluminum products, baseball bats, hockey sticks",,,early 1900s,,"PAHs
PCBs
copper
dioxin-associated compounds
lead",,,,"PAHs
PCBs
copper
dioxin-associated compounds
lead",Palin Enterprises L.L.C.,"Palin Enterprises, LLC"
Monsanto,"Pennsylvania Ave., Kearny NJ",40.7392831,-74.1050884,PCBs,manufactured PCBs and other chemicals,,,1954,1994,"PAHs
PCBs
copper
lead
mercury",,"PCBs
benzene
ethylene oxide
maleic anhydride
phenol
phosphoric acid
toluene",PCBs,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Pharmacia LLC,Pharmacia LLC
Pitt-Consol Chemical Company,"191 Doremus Ave., Newark NJ",40.7268959,-74.1239042,PAHs,"distilled and extracted products from coal tar, creosote oil, and derivatives of the two",,,1955,1983,"PAHs
PCBs
lead
mercury","cresol
phenols
xylenols",,,,"Pitt-Consol Chemical Company, a subsidiary of Du Pont Chemical and Energy Operations, Inc.",Pitt-Consol Chemical Company
"PMC Global, Inc.","450 Schuyler Ave., Kearny NJ",40.7639098,-74.1400468,copper,"produced plastic products for graphic arts, stationary and packaging industries",,,1971,present,"PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury","PAHs
copper
lead
mercury",,"PMC Global, Inc.","PMC Global, Inc."
"PPG Industries, Inc.","29-75 Riverside Ave., Newark NJ",40.7669331,-74.1605351,mercury,"manufactured paint, varnish, linseed pol, lacquer, and resin",,,1902,1971,"PAHs
PCBs
copper
dioxins
lead
mercury",,,"PCBs
arsenic
benzene
cadmium
chromium
copper
dioxins
lead
mercury
zinc","PAHs
PCBs
barium
cadmium
chromium
copper
dioxin-associated compounds
dioxins
lead
mercury","PPG Industries, Inc.","PPG Industries, Inc."
Public Service Electric and Gas Company,"155 Raymond Boulevard, Newark NJ",40.7348392,-74.127975,PAHs,"operated electricity-generating station, generated combustion gases",Essex Property,,1915,present,PAHs,"HP boiler cleaning residuals
LP boiler cleaning residuals
air heater/fireside wash water
boiler blowdown
carbon black
coal bottom ash
coal storage runoff
combustion gases
condenser cleanings
feewater heater cleanings
filter press waste
fly ash
natural gas scrubber waste
noncontact cooling water
soot
transil oil
waste oil",,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",PSE&G,PSE&G
